source,destination,permanent
/about,/purpose/about-us,true
/awards,/purpose/insights/awards,true
/design-approach,/purpose/insights/design-approach,true
/people/envision-student-program,/people/envision-student-partnership-program,true
/practices/landscape-architecture,/practices/landscape-architects,true
/research,/purpose/insights/research,true
/research/2025-the-learning-continuum-adaptive,/purpose/insights/research/the-learning-continuum-adaptive,true
/research/2050-beyond-the-third-workplace,/purpose/insights/research/2050-beyond-the-third-workplace,true
/research/agile-habitats,/purpose/insights/research/agile-habitats,true
/research/bisi-affordable-habitats,/purpose/insights/research/bisi-affordable-habitats,true
/research/building-blocks-an-early-learning-continuum,/purpose/insights/research/building-blocks-an-early-learning-continuum,true
/research/care-community-alliance-for-regional-education-early-childhood,/purpose/insights/research/care-community-alliance-for-regional-education-early-childhood,true
/research/church-design-101,/purpose/insights/research/gregarious-church-design-101,true
/research/cregarious-too,/purpose/insights/research/gregarious-vol2,true
/research/emerge-a-trauma-informed-mental-health-hub-for-young-people,/purpose/insights/research/emerge-a-trauma-informed-mental-health-hub-for-young-people,true
/research/gregarious-heritage-demystified,/purpose/insights/research/gregarious-heritage-demistified,true
/research/modupod,/purpose/insights/research/monupod,true
/research/patient-experiences-in-emergency,/purpose/insights/research/envision-patient-experiences-in-emergency,true
/research/residential-care-for-younger-people,/purpose/insights/research/envision-residential-care-for-younger-people,true
/research/spaces-that-work,/purpose/insights/research/spaces-that-work,true
/research/the-academic-exchange,/purpose/insights/research/the-academic-exchange,true
/research/the-happy-place-bringing-balance-and-productivity-back-into-the-workplace,/purpose/insights/research/the-happy-place-vol1,true
/research/the-happy-place-vol-3-seigning-for-a-wellness-environment,/purpose/insights/research/the-happy-place-vol3,true
/research/the-happy-place-vol2-balance-productivity-for-the-university-student,/purpose/insights/research/the-happy-place-vol2,true
/research/welcome-spaces-in-acute-care,/purpose/insights/research/envision-welcoming-spaces-in-acute-care,true
/sectors,/sector,true
/sectors/community,/sector/community,true
/sectors/education,/sector/education,true
/sectors/heritage,/sector/heritage,true
/sectors/secure-spaces,/sector/secure-spaces,true
/sectors/wellness,/sector/wellness,true
/social-responsibility,/purpose/social-responsibility,true
/sustainability,/purpose/sustainability,true
